NAME | DESCRIPTION
Spire of Industry | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact.
General's Enforcer {W}{B} | Legendary Humans you control have indestructible. {2}{W}{B}: Exile target card from a graveyard. If it was a creature card, create a 1/1 white Human Soldier creature token.
Watchful Radstag {2}{G} | Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.) Whenever Watchful Radstag evolves, create a token that’s a copy of it.
General's Enforcer {W}{B} | Legendary Humans you control have indestructible. {2}{W}{B}: Exile target card from a graveyard. If it was a creature card, create a 1/1 white Human Soldier creature token.
Island | ({T}: Add {U}.)
Bottle-Cap Blast {4}{R} | Improvise (Your artifacts can help cast this spell. Each artifact you tap after you’re done activating mana abilities pays for {1}.) Bottle-Cap Blast deals 5 damage to any target. If excess damage was dealt to a permanent this way, create that many tapped Treasure tokens. (They’re artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Harmonize {2}{G}{G} | Draw three cards.
Fetid Pools | ({T}: Add {U} or {B}.) Fetid Pools enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Raul, Trouble Shooter {1}{U}{B} | Once during each of your turns, you may cast a spell from among cards in your graveyard that were milled this turn. {T}: Each player mills a card. (They each put the top card of their library into their graveyard.)
Strong Back {2}{G} | Enchant creature Equip abilities you activate that target enchanted creature cost {3} less to activate. Aura spells you cast that target enchanted creature cost {3} less to cast. Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.
Contagion Clasp {2} | When Contagion Clasp enters, put a -1/-1 counter on target creature. {4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Morbid Opportunist {2}{B} | Whenever one or more other creatures die, draw a card. This ability triggers only once each turn.
Mariposa Military Base | You may have Mariposa Military Base enter tapped. If you do, you get two rad counters. {T}: Add {C}. {5}, {T}: Draw a card. This ability costs {1} less to activate for each rad counter you have.
Brotherhood Scribe {1}{W} | Metalcraft — {T}: You get {E} (an energy counter). Activate only if you control three or more artifacts. Whenever you get one or more {E} during your turn, creatures you control get +1/+1 until end of turn.
Caesar, Legion's Emperor {1}{R}{W}{B} | Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar, Legion’s Emperor deals damage equal to the number of creature tokens you control to target opponent.
Vigor {3}{G}{G}{G} Fog Crawler | Trample If damage would be dealt to another creature you control, prevent that damage. Put a +1/+1 counter on that creature for each 1 damage prevented this way. When Vigor is put into a graveyard from anywhere, shuffle it into its owner’s library.
Ruinous Ultimatum {R}{R}{W}{W}{W}{B}{B} | Destroy all nonland permanents your opponents control.
Marshal's Anthem {2}{W}{W} | Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.) Creatures you control get +1/+1. When Marshal’s Anthem enters, return up to X target creature cards from your graveyard to the battlefield, where X is the number of times Marshal’s Anthem was kicked.
Fertile Ground {1}{G} | Enchant land Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.
Screeching Scorchbeast {4}{B}{B} | Flying, menace Whenever Screeching Scorchbeast attacks, each player gets two rad counters. Whenever one or more nonland cards are milled, you may create that many 2/2 black Zombie Mutant creature tokens. Do this only once each turn.
Rustvale Bridge | Rustvale Bridge enters tapped. Indestructible {T}: Add {R} or {W}.
Tarmogoyf {1}{G} Scrounging Deathclaw | Tarmogoyf’s power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
Automated Assembly Line {1}{W} | Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter). Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.
Tainted Field | {T}: Add {C}. {T}: Add {W} or {B}. Activate only if you control a Swamp.
Wake the Past {5}{R}{W} | Return all artifact cards from your graveyard to the battlefield. They gain haste until end of turn.
Agility Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Up to X target creatures you control each gain haste until end of turn and can’t be blocked this turn except by creatures with haste, where X is the number of Bobbleheads you control as you activate this ability.
Farseek {1}{G} | Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.
Tainted Wood | {T}: Add {C}. {T}: Add {B} or {G}. Activate only if you control a Swamp.
Black Market {3}{B}{B} | Whenever a creature dies, put a charge counter on Black Market. At the beginning of your first main phase, add {B} for each charge counter on Black Market.
Brotherhood Vertibird {3} | Flying Brotherhood Vertibird’s power is equal to the number of artifacts you control. Crew 2 (Tap any number of creatures you control with total power 2 or greater: This Vehicle becomes an artifact creature until end of turn.)
Wake the Past {5}{R}{W} | Return all artifact cards from your graveyard to the battlefield. They gain haste until end of turn.
Puresteel Paladin {W}{W} | Whenever an Equipment you control enters, you may draw a card. Metalcraft — Equipment you control have equip {0} as long as you control three or more artifacts.
Rampaging Yao Guai {X}{G}{G}{G} | Vigilance, trample Rampaging Yao Guai enters with X +1/+1 counters on it. When Rampaging Yao Guai enters, destroy any number of target artifacts and/or enchantments with total mana value X or less.
Hour of Reckoning {4}{W}{W}{W} | Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature’s color.) Destroy all nontoken creatures.
Fraying Sanity {2}{U} | Enchant player At the beginning of each end step, enchanted player mills X cards, where X is the number of cards put into their graveyard from anywhere this turn.
Woodland Cemetery | Woodland Cemetery enters tapped unless you control a Swamp or a Forest. {T}: Add {B} or {G}.
Hinterland Harbor | Hinterland Harbor enters tapped unless you control a Forest or an Island. {T}: Add {G} or {U}.
Corpsejack Menace {2}{B}{G} | If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on it instead.
Tireless Tracker {2}{G} | Landfall — Whenever a land you control enters, investigate. (Create a Clue token. It’s an artifact with “{2}, Sacrifice this artifact: Draw a card.”) Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker.
Mysterious Stranger {2}{R}{R} | Flash When Mysterious Stranger enters, for each graveyard with an instant or sorcery card in it, exile target instant or sorcery card from that graveyard. If two or more cards are exiled this way, choose one of them at random and copy it. You may cast the copy without paying its mana cost.
Darkwater Catacombs | {1}, {T}: Add {U}{B}.
Bastion of Remembrance {2}{B} | When Bastion of Remembrance enters, create a 1/1 white Human Soldier creature token. Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.
One with the Machine {3}{U} | Draw cards equal to the highest mana value among artifacts you control.
Hornet Queen {4}{G}{G}{G} Specimen 73 | Flying, deathtouch When Hornet Queen enters, create four 1/1 green Insect creature tokens with flying and deathtouch.
Electrosiphon {U}{U}{R} | Counter target spell. You get an amount of {E} (energy counters) equal to its mana value.
Cultivate {2}{G} | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
Heroic Reinforcements {2}{R}{W} | Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)
Alpha Deathclaw {4}{B}{G} | Menace, trample When Alpha Deathclaw enters or becomes monstrous, destroy target permanent. {5}{B}{G}: Monstrosity 4. (If this creature isn’t monstrous, put four +1/+1 counters on it and it becomes monstrous.)
Pre-War Formalwear {2}{W} | When Pre-War Formalwear enters, return target creature card with mana value 3 or less from your graveyard to the battlefield and attach Pre-War Formalwear to it. Equipped creature gets +2/+2 and has vigilance. Equip {3}
Heroic Intervention {1}{G} | Permanents you control gain hexproof and indestructible until end of turn.
Crimson Caravaneer {2}{R} | Double strike, trample Whenever Crimson Caravaneer deals combat damage to a player, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Masterwork of Ingenuity {1} | You may have Masterwork of Ingenuity enter as a copy of any Equipment on the battlefield.
Rose, Cutthroat Raider {2}{R}{R} | First strike Raid — At end of combat on your turn, if you attacked this turn, create a Junk token for each opponent you attacked. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”) Whenever you sacrifice a Junk, add {R}.
Branching Evolution {2}{G} | If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.
Yes Man, Personal Securitron {2}{W} | {T}: Target opponent gains control of Yes Man, Personal Securitron. When they do, you draw two cards and put a quest counter on Yes Man. Activate only during your turn. Wild Card — When Yes Man leaves the battlefield, its owner creates a tapped 1/1 white Soldier creature token for each quest counter on it.
Glacial Fortress | Glacial Fortress enters tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.
Strong, the Brutish Thespian {4}{G}{G} | Ward {2} Enrage — Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong. You gain life rather than lose life from radiation.
Vault 112: Sadistic Simulation {2}{U}{R} | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Tap up to one target creature and put a stun counter on it. You get {E}{E} (two energy counters). III — Pay any amount of {E}. If you paid one or more {E} this way, shuffle your library, then exile that many cards from the top. You may play one of those cards without paying its mana cost.
Ayula, Queen Among Bears {1}{G} Ruzka, Terror of Point Lookout | Whenever another Bear you control enters, choose one — • Put two +1/+1 counters on target Bear. • Target Bear you control fights target creature you don’t control.
Heroic Reinforcements {2}{R}{W} | Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)
Martial Coup {X}{W}{W} | Create X 1/1 white Soldier creature tokens. If X is 5 or more, destroy all other creatures.
Dogmeat, Ever Loyal {R}{G}{W} | When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that’s enchanted or equipped attacks, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Everflowing Chalice {0} | Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.) Everflowing Chalice enters with a charge counter on it for each time it was kicked. {T}: Add {C} for each charge counter on Everflowing Chalice.
Scattered Groves | ({T}: Add {G} or {W}.) Scattered Groves enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Duchess, Wayward Tavernkeep {3}{R} | Hunters for Hire — Whenever a creature you control deals combat damage to a player, put a quest counter on it. {1}, Remove a quest counter from a permanent you control: Create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Nightkin Ambusher {2}{U}{B} | Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) When Nightkin Ambusher enters, target player gets four rad counters. Nightkin Ambusher can’t be blocked as long as defending player has a rad counter.
Tainted Isle | {T}: Add {C}. {T}: Add {U} or {B}. Activate only if you control a Swamp.
Hornet Queen {4}{G}{G}{G} Specimen 73 | Flying, deathtouch When Hornet Queen enters, create four 1/1 green Insect creature tokens with flying and deathtouch.
Basilisk Collar {1} | Equipped creature has deathtouch and lifelink. Equip {2}
Feral Ghoul {2}{B} | Menace Whenever another creature you control dies, put a +1/+1 counter on Feral Ghoul. When Feral Ghoul dies, each opponent gets a number of rad counters equal to its power.
Secure the Wastes {X}{W} | Create X 1/1 white Warrior creature tokens.
Wear {1}{R} | Destroy target artifact. Fuse (You may cast one or both halves of this card from your hand.)
Sticky Fingers {R} | Enchant creature Enchanted creature has menace and “Whenever this creature deals combat damage to a player, create a Treasure token.” (It can’t be blocked except by two or more creatures. The token is an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”) When enchanted creature dies, draw a card.
Strong Back {2}{G} | Enchant creature Equip abilities you activate that target enchanted creature cost {3} less to activate. Aura spells you cast that target enchanted creature cost {3} less to cast. Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.
Impassioned Orator {1}{W} | Whenever another creature you control enters, you gain 1 life.
Codsworth, Handy Helper {2}{W} | Commanders you control have ward {2}. {T}: Add {W}{W}. Spend this mana only to cast Aura and/or Equipment spells. {T}: Attach target Aura or Equipment you control to target creature you control. Activate only as a sorcery.
Thirst for Knowledge {2}{U} | Draw three cards. Then discard two cards unless you discard an artifact card.
Glimmer of Genius {3}{U} | Scry 2, then draw two cards. You get {E}{E} (two energy counters).
Cait, Cage Brawler {R}{G} | During your turn, Cait, Cage Brawler has indestructible. Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the highest mana value among those cards or tied for highest.
Pitiless Plunderer {3}{B} | Whenever another creature you control dies, create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Fervent Charge {1}{R}{W}{B} | Whenever a creature you control attacks, it gets +2/+2 until end of turn.
Gemrazer {3}{G} Toxic Sheepsquatch | Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Reach, trample Whenever this creature mutates, destroy target artifact or enchantment an opponent controls.
Armory Paladin {1}{R}{W} | Trample Whenever you cast an Aura or Equipment spell, exile the top card of your library. You may play that card until the end of your next turn.
Anguished Unmaking {1}{W}{B} | Exile target nonland permanent. You lose 3 life.
The Motherlode, Excavator {3}{R}{R} | When The Motherlode, Excavator enters, choose target opponent. You get an amount of {E} (energy counters) equal to the number of nonbasic lands that player controls. Whenever The Motherlode attacks, you may pay {E}{E}{E}{E}. When you do, destroy target nonbasic land defending player controls, and creatures that player controls without flying can’t block this turn.
Putrefy {1}{B}{G} | Destroy target artifact or creature. It can’t be regenerated.
Duchess, Wayward Tavernkeep {3}{R} | Hunters for Hire — Whenever a creature you control deals combat damage to a player, put a quest counter on it. {1}, Remove a quest counter from a permanent you control: Create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Pitiless Plunderer {3}{B} | Whenever another creature you control dies, create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Curie, Emergent Intelligence {1}{U} | Whenever Curie, Emergent Intelligence deals combat damage to a player, draw cards equal to its base power. {1}{U}, Exile another nontoken artifact creature you control: Curie becomes a copy of the exiled creature, except it has “Whenever this creature deals combat damage to a player, draw cards equal to its base power.”
Cultivate {2}{G} | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
Red Death, Shipwrecker {U}{R} | Alluring Eyes — {T}: Goad target creature an opponent controls. That player draws a card. You add {R}. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
Battle of Hoover Dam {3}{W} | As Battle of Hoover Dam enters, choose NCR or Legion. • NCR — At the beginning of your end step, return target creature card with mana value 3 or less from your graveyard to the battlefield with a finality counter on it. • Legion — Whenever a creature you control dies, put two +1/+1 counters on target creature you control.
Mystic Forge {4} | You may look at the top card of your library any time. You may cast artifact spells and colorless spells from the top of your library. {T}, Pay 1 life: Exile the top card of your library.
Tarmogoyf {1}{G} Scrounging Deathclaw | Tarmogoyf’s power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
Plains | ({T}: Add {W}.)
Dragonskull Summit | Dragonskull Summit enters tapped unless you control a Swamp or a Mountain. {T}: Add {B} or {R}.
Temple of Enlightenment | Temple of Enlightenment enters tapped. When Temple of Enlightenment enters, scry 1. {T}: Add {W} or {U}.
Fertile Ground {1}{G} | Enchant land Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.
ED-E, Lonesome Eyebot {3} | Flying ED-E My Love — Whenever you attack, if the number of attacking creatures is greater than the number of quest counters on ED-E, Lonesome Eyebot, put a quest counter on it. {2}, Sacrifice ED-E: Draw a card, then draw an additional card for each quest counter on ED-E.
Tainted Peak | {T}: Add {C}. {T}: Add {B} or {R}. Activate only if you control a Swamp.
Wake the Past {5}{R}{W} | Return all artifact cards from your graveyard to the battlefield. They gain haste until end of turn.
Lethal Scheme {2}{B}{B} | Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature’s color.) Destroy target creature or planeswalker. Each creature that convoked Lethal Scheme connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)
Clifftop Retreat | Clifftop Retreat enters tapped unless you control a Mountain or a Plains. {T}: Add {R} or {W}.
Lightning Greaves {2} | Equipped creature has haste and shroud. (It can’t be the target of spells or abilities.) Equip {0}
Putrefy {1}{B}{G} | Destroy target artifact or creature. It can’t be regenerated.
Single Combat {3}{W}{W} | Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can’t cast creature or planeswalker spells until the end of your next turn.
Irrigated Farmland | ({T}: Add {W} or {U}.) Irrigated Farmland enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Explorer's Scope {1} | Whenever equipped creature attacks, look at the top card of your library. If it’s a land card, you may put it onto the battlefield tapped. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Stolen Strategy {4}{R} | At the beginning of your upkeep, exile the top card of each opponent’s library. Until end of turn, you may cast spells from among those exiled cards, and you may spend mana as though it were mana of any color to cast those spells.
Intangible Virtue {1}{W} | Creature tokens you control get +1/+1 and have vigilance.
Craig Boone, Novac Guard {1}{R}{W} | Reach, lifelink One for My Baby — Whenever you attack with two or more creatures, put two quest counters on Craig Boone, Novac Guard. When you do, Craig Boone deals damage equal to the number of quest counters on it to up to one target creature unless that creature’s controller has Craig Boone deal that much damage to them.
Dr. Madison Li {U}{R}{W} | Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
Plasma Caster {1}{R} | Equipped creature gets +1/+1. Whenever equipped creature attacks, you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature that’s blocking equipped creature. Flip a coin. If you win the flip, exile the chosen creature. Otherwise, Plasma Caster deals 1 damage to it. Equip {2}
Sunken Hollow | ({T}: Add {U} or {B}.) Sunken Hollow enters tapped unless you control two or more basic lands.
Overencumbered {1}{W} | Enchant opponent When Overencumbered enters, enchanted opponent creates a Clue token, a Food token, and a Junk token. At the beginning of combat on enchanted opponent’s turn, that player may pay {1} for each artifact they control. If they don’t, creatures can’t attack this combat.
Cass, Hand of Vengeance {2}{R}{W} | Vigilance Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.
Red Death, Shipwrecker {U}{R} | Alluring Eyes — {T}: Goad target creature an opponent controls. That player draws a card. You add {R}. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
V.A.T.S. {2}{B}{B} | Split second (As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) Choose any number of target creatures with equal toughness. Destroy the chosen creatures.
Find {B/G}{B/G} | Return up to two target creature cards from your graveyard to your hand.
Open the Vaults {4}{W}{W} | Return all artifact and enchantment cards from all graveyards to the battlefield under their owners’ control. (Auras with nothing to enchant remain in graveyards.)
Island | ({T}: Add {U}.)
Guardian Project {3}{G} | Whenever a nontoken creature you control enters, if it doesn’t have the same name as another creature you control or a creature card in your graveyard, draw a card.
Overflowing Basin | {1}, {T}: Add {G}{U}.
Walking Ballista {X}{X} Assaultron Invader | Walking Ballista enters with X +1/+1 counters on it. {4}: Put a +1/+1 counter on Walking Ballista. Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
Ruinous Ultimatum {R}{R}{W}{W}{W}{B}{B} | Destroy all nonland permanents your opponents control.
Assemble the Legion {3}{R}{W} | At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then create a 1/1 red and white Soldier creature token with haste for each muster counter on Assemble the Legion.
Nuka-Cola Vending Machine {3} | {1}, {T}: Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) Whenever you sacrifice a Food, create a tapped Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Endurance Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Up to X target creatures you control get +1/+0 and gain indestructible until end of turn, where X is the number of Bobbleheads you control as you activate this ability. Activate only as a sorcery.
Blasphemous Act {8}{R} | This spell costs {1} less to cast for each creature on the battlefield. Blasphemous Act deals 13 damage to each creature.
Plasma Caster {1}{R} | Equipped creature gets +1/+1. Whenever equipped creature attacks, you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature that’s blocking equipped creature. Flip a coin. If you win the flip, exile the chosen creature. Otherwise, Plasma Caster deals 1 damage to it. Equip {2}
Scavenger Grounds | {T}: Add {C}. {2}, {T}, Sacrifice a Desert: Exile all graveyards.
Codsworth, Handy Helper {2}{W} | Commanders you control have ward {2}. {T}: Add {W}{W}. Spend this mana only to cast Aura and/or Equipment spells. {T}: Attach target Aura or Equipment you control to target creature you control. Activate only as a sorcery.
James, Wandering Dad {2}{U} | {T}: Add {C}{C}. Spend this mana only to activate abilities.
Strong, the Brutish Thespian {4}{G}{G} | Ward {2} Enrage — Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong. You gain life rather than lose life from radiation.
Temple of Abandon | Temple of Abandon enters tapped. When Temple of Abandon enters, scry 1. {T}: Add {R} or {G}.
Inspiring Call {2}{G} | Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy them.)
Bloodforged Battle-Axe {1} | Equipped creature gets +2/+0. Whenever equipped creature deals combat damage to a player, create a token that’s a copy of Bloodforged Battle-Axe. Equip {2}
Temple of Epiphany | Temple of Epiphany enters tapped. When Temple of Epiphany enters, scry 1. {T}: Add {U} or {R}.
Mister Gutsy {2} | Whenever you cast an Aura or Equipment spell, put a +1/+1 counter on Mister Gutsy. When Mister Gutsy dies, create X Junk tokens, where X is the number of +1/+1 counters on it. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Masterwork of Ingenuity {1} | You may have Masterwork of Ingenuity enter as a copy of any Equipment on the battlefield.
Curie, Emergent Intelligence {1}{U} | Whenever Curie, Emergent Intelligence deals combat damage to a player, draw cards equal to its base power. {1}{U}, Exile another nontoken artifact creature you control: Curie becomes a copy of the exiled creature, except it has “Whenever this creature deals combat damage to a player, draw cards equal to its base power.”
Basilisk Collar {1} | Equipped creature has deathtouch and lifelink. Equip {2}
Synth Eradicator {2}{R} | Haste Whenever Synth Eradicator attacks, exile the top card of your library. You may get {E}{E} (two energy counters). If you don’t, you may play that card this turn. {T}, Pay {E}{E}{E}: Synth Eradicator deals 3 damage to any target.
Ruinous Ultimatum {R}{R}{W}{W}{W}{B}{B} | Destroy all nonland permanents your opponents control.
Isolated Chapel | Isolated Chapel enters tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.
Keeper of the Accord {3}{W} | At the beginning of each opponent’s end step, if that player controls more creatures than you, create a 1/1 white Soldier creature token. At the beginning of each opponent’s end step, if that player controls more lands than you, you may search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.
Desdemona, Freedom's Edge {2}{R}{W} | Vigilance Whenever Desdemona, Freedom’s Edge attacks, target creature card in your graveyard that’s an artifact or that has mana value 3 or less gains escape until end of turn. The escape cost is equal to its mana cost plus exile two other cards from your graveyard. (You may cast it from your graveyard for its escape cost this turn.)
Inventory Management {R}{W} | Split second (As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) For each Aura and Equipment you control, you may attach it to a creature you control.
Cinder Glade | ({T}: Add {R} or {G}.) Cinder Glade enters tapped unless you control two or more basic lands.
Vault 12: The Necropolis {4}{B}{B} | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Each player gets three rad counters. II — Create X 2/2 black Zombie Mutant creature tokens, where X is the total number of rad counters among players. III — Put two +1/+1 counters on each creature you control that’s a Zombie or Mutant.
Puresteel Paladin {W}{W} | Whenever an Equipment you control enters, you may draw a card. Metalcraft — Equipment you control have equip {0} as long as you control three or more artifacts.
Harold and Bob, First Numens {2}{G} | Vigilance, reach When Harold and Bob, First Numens dies, if it was a creature, return it to the battlefield. It’s an Aura enchantment with enchant Forest you control and “Enchanted Forest has ‘{T}: Add three mana of any one color. You get two rad counters.’” Harold and Bob loses all other abilities.
Swamp | ({T}: Add {B}.)
Biomass Mutation {X}{G/U}{G/U} | Creatures you control have base power and toughness X/X until end of turn.
Powder Ganger {2}{R} | Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.) When Powder Ganger enters, destroy up to one target artifact.
Expert-Level Safe {2} | When Expert-Level Safe enters, exile the top two cards of your library face down. {1}, {T}: You and target opponent each secretly choose 1, 2, or 3. Then those choices are revealed. If they match, sacrifice Expert-Level Safe and put all cards exiled with it into their owners’ hands. Otherwise, exile the top card of your library face down.
Temple of Plenty | Temple of Plenty enters tapped. When Temple of Plenty enters, scry 1. {T}: Add {G} or {W}.
Scavenger Grounds | {T}: Add {C}. {2}, {T}, Sacrifice a Desert: Exile all graveyards.
Steel Overseer {2} | {T}: Put a +1/+1 counter on each artifact creature you control.
Fetid Pools | ({T}: Add {U} or {B}.) Fetid Pools enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Fireshrieker {3} | Equipped creature has double strike. (It deals both first-strike and regular combat damage.) Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Blasphemous Act {8}{R} | This spell costs {1} less to cast for each creature on the battlefield. Blasphemous Act deals 13 damage to each creature.
Plasma Caster {1}{R} | Equipped creature gets +1/+1. Whenever equipped creature attacks, you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature that’s blocking equipped creature. Flip a coin. If you win the flip, exile the chosen creature. Otherwise, Plasma Caster deals 1 damage to it. Equip {2}
Winding Constrictor {B}{G} | If one or more counters would be put on an artifact or creature you control, that many plus one of each of those kinds of counters are put on that permanent instead. If you would get one or more counters, you get that many plus one of each of those kinds of counters instead.
Temple of Malady | Temple of Malady enters tapped. When Temple of Malady enters, scry 1. {T}: Add {B} or {G}.
Rex, Cyber-Hound {1}{W}{U} | Whenever Rex, Cyber-Hound deals combat damage to a player, they mill two cards and you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature card in a graveyard. Exile it with a brain counter on it. Activate only as a sorcery. Rex has all activated abilities of all cards in exile with brain counters on them.
The Prydwen, Steel Flagship {4}{W}{W} | Flying Whenever another nontoken artifact enters under your control, create a 2/2 white Human Knight creature token with “This creature gets +2/+2 as long as an artifact entered the battlefield under your control this turn.” Crew 2
Wake the Past {5}{R}{W} | Return all artifact cards from your graveyard to the battlefield. They gain haste until end of turn.
Farewell {4}{W}{W} | Choose one or more — • Exile all artifacts. • Exile all creatures. • Exile all enchantments. • Exile all graveyards.
James, Wandering Dad {2}{U} | {T}: Add {C}{C}. Spend this mana only to activate abilities.
Sunscorched Divide | {1}, {T}: Add {R}{W}.
Temple of Deceit | Temple of Deceit enters tapped. When Temple of Deceit enters, scry 1. {T}: Add {U} or {B}.
Drowned Catacomb | Drowned Catacomb enters tapped unless you control an Island or a Swamp. {T}: Add {U} or {B}.
Blasphemous Act {8}{R} | This spell costs {1} less to cast for each creature on the battlefield. Blasphemous Act deals 13 damage to each creature.
Thrill-Kill Disciple {2}{R} | Squad—{1}, Discard a card. (As an additional cost to cast this spell, you may pay its squad cost any number of times. When this creature enters, create that many tokens that are copies of it.) When Thrill-Kill Disciple dies, create a Junk token.
Sunpetal Grove | Sunpetal Grove enters tapped unless you control a Forest or a Plains. {T}: Add {G} or {W}.
Mantle of the Ancients {3}{W}{W} | Enchant creature you control When Mantle of the Ancients enters, return any number of target Aura and/or Equipment cards from your graveyard to the battlefield attached to enchanted creature. Enchanted creature gets +1/+1 for each Aura and Equipment attached to it.
